id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
28135fd3e80dda50a673cd556f10b9b972005d27,Binarized Neural Networks,Itay Hubara; Matthieu Courbariaux; Daniel Soudry; Ran El-Yaniv; Yoshua Bengio,arXiv.org,2016,2205,27,282,,https://www.semanticscholar.org/paper/28135fd3e80dda50a673cd556f10b9b972005d27
2a0cec7f0f8b63f182ea0c52cb935580acabafcc,UOUS AND DISCRETE ADDRESSING SCHEMES,Sarath Chandar; Kyunghyun Cho; Yoshua Bengio,,2016,0,41,0,,https://www.semanticscholar.org/paper/2a0cec7f0f8b63f182ea0c52cb935580acabafcc
2fe874a1c85ecc9e848bf9defd76535e19d51f39,Professor Forcing: A New Algorithm for Training Recurrent Networks,Anirudh Goyal; Alex Lamb; Ying Zhang; Saizheng Zhang; Aaron C. Courville; Yoshua Bengio,Neural Information Processing Systems,2016,710,35,43,,https://www.semanticscholar.org/paper/2fe874a1c85ecc9e848bf9defd76535e19d51f39
3184397b9580af121c7b0b09b664c41ec401a16e,Feedforward Initialization for Fast Inference of Deep Generative Networks is biologically plausible,Yoshua Bengio; B. Scellier; O. Bilaniuk; J. Sacramento; W. Senn,arXiv.org,2016,19,28,3,,https://www.semanticscholar.org/paper/3184397b9580af121c7b0b09b664c41ec401a16e
36769a3297d21e8477d043555870548e4a80ded4,Learning Latent Multiscale Structure Using Recurrent Neural Networks,Junyoung Chung; Sungjin Ahn; Yoshua Bengio,,2016,0,22,0,,https://www.semanticscholar.org/paper/36769a3297d21e8477d043555870548e4a80ded4
3f43314011db0e92e629d6ee6cf6a918e1e258bb,NYU-MILA Neural Machine Translation Systems for WMT’16,Junyoung Chung; Kyunghyun Cho; Yoshua Bengio,Conference on Machine Translation,2016,7,12,2,10.18653/v1/W16-2309,https://www.semanticscholar.org/paper/3f43314011db0e92e629d6ee6cf6a918e1e258bb
4071a0b0afbf97da5d66389c0b8d781aaa55bf3a,On Random Weights for Texture Generation in One Layer Neural Networks,Mihir Mongia; Kundan Kumar; Akram Erraqabi; Yoshua Bengio,arXiv.org,2016,5,6,0,,https://www.semanticscholar.org/paper/4071a0b0afbf97da5d66389c0b8d781aaa55bf3a
4dd1c8c3a30c8d4c4864a1a52fb0e50895efa793,Former NASA chief unveils $ 100 million neural chip maker KnuEdge,C. Strasser; D. Takahashi; Tim Klinger; G. Tesauro; Kartik Talamadupula; Bowen Zhou; Yoshua Bengio; Aaron C. Courville,,2016,0,0,0,,https://www.semanticscholar.org/paper/4dd1c8c3a30c8d4c4864a1a52fb0e50895efa793
52d145f7e7005ae8118306db1427bf1becbad001,Batch-normalized joint training for DNN-based distant speech recognition,M. Ravanelli; Philemon Brakel; M. Omologo; Yoshua Bengio,Spoken Language Technology Workshop,2016,35,52,2,10.1109/SLT.2016.7846241,https://www.semanticscholar.org/paper/52d145f7e7005ae8118306db1427bf1becbad001
568374ac9433e29b812008b2a01f81e657bdbd34,Noisy Activation Functions,Çaglar Gülçehre; Marcin Moczulski; Misha Denil; Yoshua Bengio,International Conference on Machine Learning,2016,310,27,18,,https://www.semanticscholar.org/paper/568374ac9433e29b812008b2a01f81e657bdbd34
